PK,SK,ship,event_day,event_date,event_type,window_days,stw_before,stw_after,improvement_pct,n_before,n_after,improved,timestamp
SHIP#S1,MAINT#1386,S1,1386.0,2023-10-18T00:00:00,UWI+PP,30,16.85,15.48,-8.13,12,10,N,1697558400
SHIP#S1,MAINT#1438,S1,1438.0,2023-12-09T00:00:00,UWI+PP,30,15.65,14.97,-4.36,10,8,N,1702051200
SHIP#S1,MAINT#1560,S1,1560.0,2024-04-09T00:00:00,PP,30,17.69,13.85,-21.67,8,16,N,1712592000
SHIP#S1,MAINT#1804,S1,1804.0,2024-12-09T00:00:00,UWI+PP,30,16.89,16.02,-5.13,13,12,N,1733673600
SHIP#S10,MAINT#839,S10,839.0,2022-04-19T00:00:00,UWI,30,16.08,12.5,-22.28,13,6,N,1650297600
SHIP#S10,MAINT#932,S10,932.0,2022-07-21T00:00:00,PP,30,15.73,16.77,6.59,7,9,Y,1658332800
SHIP#S10,MAINT#1222,S10,1222.0,2023-05-07T00:00:00,UWC+PP,30,14.3,16.62,16.26,11,8,Y,1683388800
SHIP#S10,MAINT#1560,S10,1560.0,2024-04-09T00:00:00,UWI+PP,30,19.36,15.31,-20.91,3,3,N,1712592000
SHIP#S11,MAINT#570,S11,570.0,2021-07-24T00:00:00,UWC+PP,30,16.88,13.83,-18.05,8,9,N,1627056000
SHIP#S11,MAINT#842,S11,842.0,2022-04-22T00:00:00,UWI,30,12.48,15.18,21.6,5,13,Y,1650556800
SHIP#S11,MAINT#1038,S11,1038.0,2022-11-04T00:00:00,UWI+PP,30,13.5,16.73,23.91,15,12,Y,1667491200
SHIP#S11,MAINT#1132,S11,1132.0,2023-02-06T00:00:00,UWC,15,15.78,13.07,-17.16,5,5,N,1675612800
SHIP#S11,MAINT#1258,S11,1258.0,2023-06-12T00:00:00,UWI+PP,30,13.66,16.94,24.05,7,11,Y,1686499200
SHIP#S11,MAINT#1475,S11,1475.0,2024-01-15T00:00:00,UWI+PP,30,15.98,14.96,-6.39,11,10,N,1705248000
SHIP#S11,MAINT#1709,S11,1709.0,2024-09-05T00:00:00,UWI+PP,30,16.82,14.18,-15.71,19,9,N,1725465600
SHIP#S12,MAINT#878,S12,878.0,2022-05-28T00:00:00,UWI,30,11.55,10.49,-9.21,19,5,N,1653667200
SHIP#S12,MAINT#1167,S12,1167.0,2023-03-13T00:00:00,UWC+PP,30,12.28,14.6,18.93,5,12,Y,1678636800
SHIP#S12,MAINT#1305,S12,1305.0,2023-07-29T00:00:00,UWC,15,13.9,15.51,11.57,8,12,Y,1690560000
SHIP#S12,MAINT#1311,S12,1311.0,2023-08-04T00:00:00,UWI+PP,30,14.06,16.22,15.4,15,15,Y,1691078400
SHIP#S12,MAINT#1487,S12,1487.0,2024-01-27T00:00:00,UWI+PP,30,15.53,15.38,-0.98,9,19,N,1706284800
SHIP#S12,MAINT#1572,S12,1572.0,2024-04-21T00:00:00,UWI,30,14.8,14.86,0.41,26,9,Y,1713628800
SHIP#S12,MAINT#1644,S12,1644.0,2024-07-02T00:00:00,UWC+PP,30,15.55,16.25,4.5,14,18,Y,1719849600
SHIP#S2,MAINT#1218,S2,1218.0,2023-05-03T00:00:00,UWI+PP,30,13.6,14.06,3.34,11,10,Y,1683043200
SHIP#S2,MAINT#1567,S2,1567.0,2024-04-16T00:00:00,UWI,30,14.43,15.9,10.24,26,12,Y,1713196800
SHIP#S2,MAINT#1692,S2,1692.0,2024-08-19T00:00:00,UWI+PP,30,14.64,16.5,12.69,10,5,Y,1723996800
SHIP#S21,MAINT#134,S21,134.0,2020-05-14T00:00:00,UWC+PP,30,15.17,14.96,-1.42,17,6,N,1589385600
SHIP#S21,MAINT#1003,S21,1003.0,2022-09-30T00:00:00,UWI,30,16.12,13.65,-15.29,5,16,N,1664467200
SHIP#S21,MAINT#1383,S21,1383.0,2023-10-15T00:00:00,UWI+PP,30,12.04,16.34,35.76,18,9,Y,1697299200
SHIP#S21,MAINT#1617,S21,1617.0,2024-06-05T00:00:00,UWI+PP,30,12.15,13.32,9.64,18,6,Y,1717516800
SHIP#S21,MAINT#1760,S21,1760.0,2024-10-26T00:00:00,PP,30,12.02,16.57,37.92,8,11,Y,1729872000
SHIP#S22,MAINT#1206,S22,1206.0,2023-04-21T00:00:00,UWI+PP,30,14.35,14.94,4.15,20,14,Y,1682006400
SHIP#S22,MAINT#1679,S22,1679.0,2024-08-06T00:00:00,UWI+PP,30,14.53,17.39,19.66,9,14,Y,1722873600
SHIP#S23,MAINT#770,S23,770.0,2022-02-09T00:00:00,UWI,30,12.15,16.13,32.72,4,11,Y,1644336000
SHIP#S23,MAINT#1304,S23,1304.0,2023-07-28T00:00:00,UWI+PP,30,16.06,16.12,0.39,4,15,Y,1690473600
SHIP#S23,MAINT#1483,S23,1483.0,2024-01-23T00:00:00,UWC+PP,30,16.03,18.02,12.42,10,12,Y,1705939200
SHIP#S23,MAINT#1535,S23,1535.0,2024-03-15T00:00:00,UWC,15,17.12,16.14,-5.69,3,5,N,1710432000
SHIP#S23,MAINT#1657,S23,1657.0,2024-07-15T00:00:00,UWI+PP,30,15.59,17.52,12.37,12,7,Y,1720972800
SHIP#S3,MAINT#1166,S3,1166.0,2023-03-12T00:00:00,PP,30,15.69,14.18,-9.63,6,13,N,1678550400
SHIP#S3,MAINT#1354,S3,1354.0,2023-09-16T00:00:00,PP,30,15.04,16.35,8.68,6,9,Y,1694793600
SHIP#S3,MAINT#1478,S3,1478.0,2024-01-18T00:00:00,UWI+PP,30,14.42,16.93,17.4,3,3,Y,1705507200
SHIP#S3,MAINT#1573,S3,1573.0,2024-04-22T00:00:00,UWI,30,16.82,16.13,-4.14,9,11,N,1713715200
SHIP#S3,MAINT#1703,S3,1703.0,2024-08-30T00:00:00,PP,30,15.54,14.83,-4.58,11,12,N,1724947200
SHIP#S4,MAINT#1249,S4,1249.0,2023-06-03T00:00:00,UWI+PP,30,11.13,15.53,39.52,15,15,Y,1685721600
SHIP#S4,MAINT#1467,S4,1467.0,2024-01-07T00:00:00,UWI+PP,30,13.75,14.7,6.91,19,16,Y,1704556800
SHIP#S4,MAINT#1709,S4,1709.0,2024-09-05T00:00:00,PP,30,15.27,15.99,4.7,9,11,Y,1725465600
SHIP#S5,MAINT#1267,S5,1267.0,2023-06-21T00:00:00,UWI+PP,30,12.7,16.39,29.04,10,8,Y,1687276800
SHIP#S5,MAINT#1489,S5,1489.0,2024-01-29T00:00:00,UWI+PP,30,16.84,14.67,-12.86,13,12,N,1706457600
SHIP#S5,MAINT#1607,S5,1607.0,2024-05-26T00:00:00,UWI,30,13.57,16.64,22.68,15,10,Y,1716652800
SHIP#S6,MAINT#191,S6,191.0,2020-07-10T00:00:00,PP,30,14.12,14.91,5.63,6,11,Y,1594310400
SHIP#S6,MAINT#857,S6,857.0,2022-05-07T00:00:00,DD,30,11.87,13.16,10.88,4,8,Y,1651852800
SHIP#S6,MAINT#1203,S6,1203.0,2023-04-18T00:00:00,UWI+PP,30,14.16,15.43,8.95,10,8,Y,1681747200
SHIP#S6,MAINT#1587,S6,1587.0,2024-05-06T00:00:00,UWI+PP,30,15.12,15.29,1.14,5,8,Y,1714924800
SHIP#S7,MAINT#374,S7,374.0,2021-01-09T00:00:00,UWI,30,16.41,14.11,-14.03,8,16,N,1610121600
SHIP#S7,MAINT#1501,S7,1501.0,2024-02-10T00:00:00,PP,30,14.34,18.83,31.31,4,6,Y,1707494400
SHIP#S7,MAINT#1757,S7,1757.0,2024-10-23T00:00:00,PP,30,12.54,14.42,15.03,7,8,Y,1729612800
SHIP#S8,MAINT#269,S8,269.0,2020-09-26T00:00:00,UWC+PP,30,12.58,15.23,21.04,12,12,Y,1601049600
SHIP#S8,MAINT#1218,S8,1218.0,2023-05-03T00:00:00,UWI+PP,30,15.36,16.7,8.74,16,7,Y,1683043200
SHIP#S8,MAINT#1269,S8,1269.0,2023-06-23T00:00:00,UWI+PP,30,15.44,16.95,9.77,12,7,Y,1687449600
SHIP#S8,MAINT#1583,S8,1583.0,2024-05-02T00:00:00,UWI,30,13.54,13.86,2.36,6,11,Y,1714579200
SHIP#S8,MAINT#1633,S8,1633.0,2024-06-21T00:00:00,PP,30,16.19,16.02,-1.04,11,9,N,1718899200
SHIP#S9,MAINT#464,S9,464.0,2021-04-09T00:00:00,UWI+PP,30,15.08,15.23,0.99,17,16,Y,1617897600
SHIP#S9,MAINT#925,S9,925.0,2022-07-14T00:00:00,UWI+PP,30,13.22,16.71,26.44,10,8,Y,1657728000
SHIP#S9,MAINT#1149,S9,1149.0,2023-02-23T00:00:00,UWI+PP,30,16.77,17.13,2.16,14,6,Y,1677081600
SHIP#S9,MAINT#1152,S9,1152.0,2023-02-26T00:00:00,UWC,15,14.73,17.08,15.94,5,4,Y,1677340800
