Experiment,Features,MAE,RMSE,R2,MAPE_high,Within5,Within10
0_BASE (v4 原版),25,4.113822845646544,7.001679596191519,0.942263489706616,6.145509524739138,75.38461538461539,92.18934911242603
4_BASE + 環境阻力 (D),28,4.119894905772114,7.007016662826134,0.9421754362501613,6.202972266947823,75.97633136094674,92.60355029585799
1_BASE + 阻力代理 (A),27,4.120259889981539,7.010052452579974,0.9421253204152353,6.152945580307681,75.50295857988165,92.18934911242603
5_BASE + 螺旋槳/洋流 (E),28,4.1444283868131295,7.030823124333459,0.9417818488432108,6.189540407322887,75.08875739644971,91.59763313609467
2_BASE + 汙損退化 (B),28,4.14446950432392,7.042934392191231,0.9415811033806049,6.227209894543222,75.50295857988165,91.9526627218935
6_BASE + A+B (阻力+退化),30,4.177162894035915,7.031969793899099,0.94176285748909,6.275235678219897,75.02958579881657,92.01183431952663
10_精選 Top (A+B+E),33,4.183646218449721,7.093068806056606,0.9407464452254549,6.220715911221331,74.4378698224852,92.07100591715977
8_BASE + A+B+D,33,4.18768236009872,7.0354052170547945,0.941705940834147,6.2462666180352295,74.14201183431952,92.1301775147929
9_BASE + ALL PHYSICS,38,4.2390002536135905,7.133758327882412,0.9400646770807366,6.341567300961115,73.55029585798817,91.30177514792899
7_BASE + A+B+C,32,4.249693516401588,7.110151081023834,0.9404607002625883,6.413082220224786,73.25443786982248,91.53846153846153
3_BASE + 船體形狀 (C),27,4.26631464299537,7.135126225038858,0.9400416896975471,6.496953787344076,74.31952662721893,91.42011834319527
