,importance
SEA_SPEED_DISTANCE,0.59597737
TOTAL_DISTANCE,0.12771527
PROPELLER_SPEED,0.07694708
ME_AVG_RPM,0.069297604
HOURS_FULL_SPEED,0.02841078
FUEL_HEAT_VALUE,0.013984371
FUEL_TYPE_CODE,0.0072723585
SWELL_HEIGHT,0.0056934827
SPEED_THROUGH_WATER,0.0055205612
WATER_DEPTH,0.004381575
HOURS_TOTAL,0.004064622
MAINT_TYPE_UWI+PP,0.0036230315
MAINT_TYPE_UWC,0.003467624
FULL_SPD_STW_SLIP,0.0034499294
LAST_MAINT_TYPE,0.0032168985
SEA_HEIGHT,0.0030799517
WIND_SCALE,0.0027661438
PROPELLER_STATE,0.0026491098
MAINT_TYPE_PP,0.002430825
DAYS_TO_NEXT_MAINT,0.002376155
AVG_SPEED,0.0023637833
CARGO_ON_BOARD,0.0023191364
AFTER_DRAFT,0.0022564826
MAINT_TYPE_DD,0.002210811
MAINT_TYPE_UWI,0.0021810092
DISPLACEMENT,0.0021730738
DIFF_STW_SOG_SLIP,0.002168664
MID_DRAFT,0.0021662286
DAYS_SINCE_LAST_MAINT,0.0021628374
SEA_WATER_TEMP,0.0021575368
FORE_DRAFT,0.002057917
SWELL_DIRECTION,0.0020405645
WIND_SPEED,0.0020244564
WIND_DIRECTION,0.001888326
SEA_DIRECTION,0.0017413967
MAINT_TYPE_UWC+PP,0.0008913518
IS_MAINT_WINDOW,0.0008715936
HULL_STATE,0.0
